Annuncio,Link,Prezzo,Anni,Immatricolazione,Chilometraggio,Cambio,Carburante,CV,Allestimento,Allestimento_unificato,Modello,Venditore,Distanza,Comune,CAP,Regione,Area
Mercedes-benz A 180 A 180 d Automatic Sport,https://www.automobile.it/partinico-mercedes-benz-180-180-d-automatic-sport/180115065,24500,5,2020,130000,automatico,Diesel,116,Sport,Middle,A 180 d,Rivenditore,753,partinico,90047,Sicilia,Isole
MERCEDES-BENZ A 180 Automatic Premium,https://www.automobile.it/collesalvetti-mercedes-benz-180-automatic-premium/179803683,24599,5,2020,99960,automatico,Benzina,136,AMG line,Sport,A 180,Rivenditore,130,collesalvetti,57014,Toscana,Centro
MERCEDES-BENZ A 180 Automatic Premium,https://www.automobile.it/milano-mercedes-benz-180-automatic-premium/179808527,24599,5,2020,99960,automatico,Benzina,136,AMG line,Sport,A 180,Rivenditore,177,milano,20121,Lombardia,Nord-ovest
MERCEDES-BENZ A 180 Automatic Premium,https://www.automobile.it/verona-mercedes-benz-180-automatic-premium/179819972,24599,5,2020,99960,automatico,Benzina,136,AMG line,Sport,A 180,Rivenditore,86,verona,37121,Veneto,Nord-est
MERCEDES-BENZ A 180 Automatic Premium,https://www.automobile.it/roma-mercedes-benz-180-automatic-premium/179820814,24599,5,2020,99960,automatico,Benzina,136,AMG line,Sport,A 180,Rivenditore,326,roma,118,Lazio,Centro
MERCEDES-BENZ A 180 Automatic Premium,https://www.automobile.it/bologna-mercedes-benz-180-automatic-premium/179820426,24599,5,2020,99960,automatico,Benzina,136,AMG line,Sport,A 180,Rivenditore,25,bologna,40121,Emilia-Romagna,Nord-est
Mercedes-benz A 180 A 180 d Automatic Sport,https://www.automobile.it/arezzo-mercedes-benz-180-180-d-automatic-sport/178131974,24600,4,2021,115000,automatico,Diesel,116,Sport,Middle,A 180 d,Rivenditore,146,arezzo,52100,Toscana,Centro
MERCEDES-BENZ A 180 d Automatic Premium,https://www.automobile.it/casoria-mercedes-benz-180-d-automatic-premium/179386978,24699,6,2019,86347,automatico,Diesel,116,AMG line,Sport,A 180 d,Rivenditore,490,casoria,80026,Campania,Sud
MERCEDES-BENZ A 180 d Automatic Premium,https://www.automobile.it/milano-mercedes-benz-180-d-automatic-premium/180151048,24699,6,2019,84624,automatico,Diesel,116,AMG line,Sport,A 180 d,Rivenditore,177,milano,20121,Lombardia,Nord-ovest
MERCEDES-BENZ A 180 d Automatic Premium,https://www.automobile.it/bari-mercedes-benz-180-d-automatic-premium/180159531,24699,5,2020,104031,automatico,Diesel,116,AMG line,Sport,A 180 d,Rivenditore,611,bari,70121,Puglia,Sud
MERCEDES-BENZ A 180 d Automatic Premium,https://www.automobile.it/bari-mercedes-benz-180-d-automatic-premium/180151123,24699,6,2019,84624,automatico,Diesel,116,AMG line,Sport,A 180 d,Rivenditore,611,bari,70121,Puglia,Sud
MERCEDES-BENZ A 180 d Automatic Premium,https://www.automobile.it/milano-mercedes-benz-180-d-automatic-premium/180159293,24699,5,2020,104031,automatico,Diesel,116,AMG line,Sport,A 180 d,Rivenditore,177,milano,20121,Lombardia,Nord-ovest
MERCEDES-BENZ A 250 e Automatic EQ-Power Sport,https://www.automobile.it/roma-mercedes-benz-250-automatic-eq-power-sport/179831589,24700,5,2020,68000,automatico,Ibrido,218,Sport,Middle,A 250 e,Rivenditore,326,roma,118,Lazio,Centro
MERCEDES-BENZ A 180 d Automatic Business Extra,https://www.automobile.it/belpasso-mercedes-benz-180-d-automatic-business-extra/178989946,24800,5,2020,50877,automatico,Diesel,116,Business,Base,A 180 d,Rivenditore,848,belpasso,95032,Sicilia,Isole
Mercedes-benz A 180 A 180 SEDAN Automatic Premium Pack AMG,https://www.automobile.it/cingoli-mercedes-benz-180-180-sedan-automatic-premium-pack-amg/180032344,24800,5,2020,65000,automatico,Benzina,136,AMG line,Sport,A 180,Rivenditore,220,cingoli,62011,Marche,Centro
Mercedes-Benz Classe A - W177 2018 - A 200 Sport auto,https://www.automobile.it/cuneo-mercedes-benz-classe-w177-2018-200-sport-auto/179599203,24800,5,2020,71719,automatico,Benzina,163,Sport,Middle,A 200,Rivenditore,286,cuneo,12100,Piemonte,Nord-ovest
MERCEDES-BENZ A 250 e Automatic EQ-Power Sport,https://www.automobile.it/casoria-mercedes-benz-250-automatic-eq-power-sport/179364979,24899,5,2020,39391,automatico,Ibrido,218,Sport,Middle,A 250 e,Rivenditore,490,casoria,80026,Campania,Sud
Mercedes-benz A 200 A 200 Premium,https://www.automobile.it/torino-mercedes-benz-200-200-premium/179341494,24900,3,2022,67000,automatico,Benzina,163,AMG line,Sport,A 200,Rivenditore,276,torino,10121,Piemonte,Nord-ovest
Mercedes-benz A 180 A 180 d Automatic 4p. Premium AMG NIGHT PACK,https://www.automobile.it/frosinone-mercedes-benz-180-180-d-automatic-4p-premium-amg-night-pack/178396066,24900,6,2019,75000,automatico,Diesel,116,AMG line,Sport,A 180 d,Rivenditore,381,frosinone,3100,Lazio,Centro
MERCEDES-BENZ A 200 d Automatic Business,https://www.automobile.it/cagliari-mercedes-benz-200-d-automatic-business/178011868,24900,6,2019,109000,automatico,Diesel,150,Business,Base,A 200 d,Rivenditore,628,cagliari,9121,Sardegna,Isole
Mercedes-benz A 250 A 250 Automatic Sport,https://www.automobile.it/santa-maria-sala-mercedes-benz-250-250-automatic-sport/179589414,24900,6,2019,95743,automatico,Benzina,224,Sport,Middle,A 250,Rivenditore,117,santa maria sala,30036,Veneto,Nord-est
180d Sport Auto,https://www.automobile.it/brescia-180d-sport-auto/179884192,24900,4,2021,53845,automatico,Diesel,116,Sport,Middle,A 180 d,Rivenditore,121,brescia,25121,Lombardia,Nord-ovest
Mercedes-benz A 180 d PREMIUM Automatic 5 porte,https://www.automobile.it/bagnaria-arsa-mercedes-benz-180-d-premium-automatic-5-porte/179972078,24900,5,2020,98100,automatico,Diesel,116,AMG line,Sport,A 180 d,Rivenditore,217,bagnaria arsa,33050,Friuli-Venezia Giulia,Nord-est
Mercedes-benz A 180 A 180d Automatica Premium AMG FINANZAIBILE,https://www.automobile.it/guidonia-montecelio-mercedes-benz-180-180d-automatica-premium-amg-finanzaibile/178916003,24900,6,2019,88000,automatico,Diesel,116,AMG line,Sport,A 180 d,Rivenditore,322,guidonia montecelio,12,Lazio,Centro
MERCEDES-BENZ A 180 d Automatic Sport,https://www.automobile.it/stradella-mercedes-benz-180-d-automatic-sport/180029927,24900,4,2021,121000,automatico,Diesel,116,Sport,Middle,A 180 d,Rivenditore,152,stradella,27049,Lombardia,Nord-ovest
Mercedes-Benz Classe A - V177 2018 - A 180 d Sport,https://www.automobile.it/mosciano-sant-angelo-mercedes-benz-classe-v177-2018-180-d-sport/180017984,24900,3,2022,78678,automatico,Diesel,116,Sport,Middle,A 180 d,Rivenditore,307,mosciano sant angelo,64023,Abruzzo,Sud
Mercedes-benz A 180 d Automatic Business Extra,https://www.automobile.it/sarcedo-mercedes-benz-180-d-automatic-business-extra/180038522,24900,6,2019,41000,automatico,Diesel,116,Business,Base,A 180 d,Rivenditore,120,sarcedo,36030,Veneto,Nord-est
Mercedes-benz A 180 D Executive LIMOUSINE,https://www.automobile.it/manduria-mercedes-benz-180-d-executive-limousine/180121937,24900,4,2021,100000,automatico,Diesel,116,Executive,Base,A 180 d,Rivenditore,713,manduria,74024,Puglia,Sud
Mercedes-benz A 180 A 180 d Automatic Business,https://www.automobile.it/marino-mercedes-benz-180-180-d-automatic-business/179926545,24900,4,2021,42000,automatico,Diesel,116,Business,Base,A 180 d,Rivenditore,344,marino,47,Lazio,Centro
Mercedes-Benz Classe A A 180 d Automatic Sport,https://www.automobile.it/verdellino-mercedes-benz-classe-180-d-automatic-sport/179831901,24900,4,2021,63524,automatico,Diesel,116,Sport,Middle,A 180 d,Rivenditore,158,verdellino,24040,Lombardia,Nord-ovest
MERCEDES A 200 d Automatic Sport,https://www.automobile.it/noale-mercedes-200-d-automatic-sport/179864440,24900,4,2021,87900,automatico,Diesel,150,Sport,Middle,A 200 d,Rivenditore,123,noale,30033,Veneto,Nord-est
MERCEDES-BENZ A 180 Automatic Sport,https://www.automobile.it/stradella-mercedes-benz-180-automatic-sport/180134108,24900,4,2021,66000,automatico,Benzina,136,Sport,Middle,A 180,Rivenditore,152,stradella,27049,Lombardia,Nord-ovest
MERCEDES-BENZ A 250 e Automatic EQ-Power Business,https://www.automobile.it/curno-mercedes-benz-250-automatic-eq-power-business/180144341,24900,5,2020,23073,automatico,Ibrido,218,Business,Base,A 250 e,Rivenditore,165,curno,24035,Lombardia,Nord-ovest
Mercedes-Benz A 180 A 180 d Sport Night Edition,https://www.automobile.it/casalecchio-reno-mercedes-benz-180-180-d-sport-night-edition/180161238,24900,3,2022,61001,automatico,Diesel,116,Sport,Middle,A 180 d,Rivenditore,23,casalecchio reno,40033,Emilia-Romagna,Nord-est
MERCEDES-BENZ A 250 e Plug-in hybrid Automatica 4p. Sport,https://www.automobile.it/badia-calavena-mercedes-benz-250-plug-hybrid-automatica-4p-sport/179796666,24950,4,2021,25000,automatico,Ibrido,218,Sport,Middle,A 250 e,Rivenditore,99,badia calavena,37030,Veneto,Nord-est
MERCEDES-BENZ A 180 Aut. Premium AMG *TETTO*LUCI PACK,https://www.automobile.it/mesagne-mercedes-benz-180-aut-premium-amg-tetto-luci-pack/179500288,24990,6,2019,89965,automatico,Benzina,136,AMG line,Sport,A 180,Rivenditore,712,mesagne,72023,Puglia,Sud
Mercedes-benz A 180 A 180 d Automatic Premium,https://www.automobile.it/irsina-mercedes-benz-180-180-d-automatic-premium/179680512,24990,6,2019,120000,automatico,Diesel,116,AMG line,Sport,A 180 d,Rivenditore,603,irsina,75022,Basilicata,Sud
Mercedes-Benz Classe A A 180 d Sport auto,https://www.automobile.it/firenze-mercedes-benz-classe-180-d-sport-auto/180131840,24990,4,2021,78243,automatico,Diesel,116,Sport,Middle,A 180 d,Rivenditore,99,firenze,50121,Toscana,Centro
MERCEDES-BENZ A 200 d Automatic Premium,https://www.automobile.it/casoria-mercedes-benz-200-d-automatic-premium/178923374,24999,6,2019,92033,automatico,Diesel,150,AMG line,Sport,A 200 d,Rivenditore,490,casoria,80026,Campania,Sud
Mercedes-benz A 180 Automatic Sport (MOTORE MERCEDES) Full Led Navi Camera,https://www.automobile.it/latiano-mercedes-benz-180-automatic-sport-motore-mercedes-full-led-navi-camera/179408046,24999,4,2021,79999,automatico,Diesel,136,Sport,Middle,A 180,Rivenditore,706,latiano,72022,Puglia,Sud
MERCEDES-BENZ A 180 d Automatic Sport,https://www.automobile.it/lecce-mercedes-benz-180-d-automatic-sport/179803946,25000,3,2022,94000,automatico,Diesel,116,Sport,Middle,A 180 d,Rivenditore,750,lecce,73100,Puglia,Sud
Mercedes-benz A 180 d Automatic Sport AMG,https://www.automobile.it/modugno-mercedes-benz-180-d-automatic-sport-amg/179979485,25000,6,2019,80000,automatico,Diesel,116,Sport,Middle,A 180 d,Rivenditore,608,modugno,70026,Puglia,Sud
Mercedes-benz A 200 A 220 d Automatic Premium,https://www.automobile.it/alliste-mercedes-benz-200-220-d-automatic-premium/180063714,25000,4,2021,130000,automatico,Diesel,190,AMG line,Sport,A 220 d,Rivenditore,776,alliste,73040,Puglia,Sud
MERCEDES-BENZ A 180 d Automatic 4p. Sport,https://www.automobile.it/casoria-mercedes-benz-180-d-automatic-4p-sport/179212532,25099,2,2023,90669,automatico,Diesel,116,Sport,Middle,A 180 d,Rivenditore,490,casoria,80026,Campania,Sud
MERCEDES-BENZ A 180 d Automatic Premium,https://www.automobile.it/casoria-mercedes-benz-180-d-automatic-premium/179334143,25099,6,2019,77839,automatico,Diesel,116,AMG line,Sport,A 180 d,Rivenditore,490,casoria,80026,Campania,Sud
MERCEDES-BENZ A 180 d Automatic Premium,https://www.automobile.it/catania-mercedes-benz-180-d-automatic-premium/180150791,25099,6,2019,84624,automatico,Diesel,116,AMG line,Sport,A 180 d,Rivenditore,861,catania,95121,Sicilia,Isole
MERCEDES-BENZ A 180 d Automatic Premium,https://www.automobile.it/beinasco-mercedes-benz-180-d-automatic-premium/180150504,25099,6,2019,84624,automatico,Diesel,116,AMG line,Sport,A 180 d,Rivenditore,283,beinasco,10092,Piemonte,Nord-ovest
MERCEDES-BENZ A 180 d Automatic Premium,https://www.automobile.it/verona-mercedes-benz-180-d-automatic-premium/180150800,25099,6,2019,84624,automatico,Diesel,116,AMG line,Sport,A 180 d,Rivenditore,86,verona,37121,Veneto,Nord-est
MERCEDES-BENZ A 180 d Automatic Premium,https://www.automobile.it/bologna-mercedes-benz-180-d-automatic-premium/180151432,25099,6,2019,84624,automatico,Diesel,116,AMG line,Sport,A 180 d,Rivenditore,25,bologna,40121,Emilia-Romagna,Nord-est
MERCEDES-BENZ A 180 d Automatic Premium,https://www.automobile.it/firenze-mercedes-benz-180-d-automatic-premium/180151741,25099,6,2019,84624,automatico,Diesel,116,AMG line,Sport,A 180 d,Rivenditore,99,firenze,50121,Toscana,Centro
MERCEDES-BENZ A 180 d Automatic Premium,https://www.automobile.it/roma-mercedes-benz-180-d-automatic-premium/180151729,25099,6,2019,84624,automatico,Diesel,116,AMG line,Sport,A 180 d,Rivenditore,326,roma,118,Lazio,Centro
MERCEDES-BENZ A 180 d Automatic Premium,https://www.automobile.it/collesalvetti-mercedes-benz-180-d-automatic-premium/180133739,25099,6,2019,84624,automatico,Diesel,116,AMG line,Sport,A 180 d,Rivenditore,130,collesalvetti,57014,Toscana,Centro
MERCEDES-BENZ A 250 e Automatic EQ-Power Premium,https://www.automobile.it/roma-mercedes-benz-250-automatic-eq-power-premium/179893274,25299,4,2021,105333,automatico,Ibrido,218,AMG line,Sport,A 250 e,Rivenditore,326,roma,118,Lazio,Centro
MERCEDES-BENZ A 250 e Automatic EQ-Power Premium,https://www.automobile.it/milano-mercedes-benz-250-automatic-eq-power-premium/179892716,25299,4,2021,105333,automatico,Ibrido,218,AMG line,Sport,A 250 e,Rivenditore,177,milano,20121,Lombardia,Nord-ovest
Mercedes-benz A 180 d 116CV Automatic Premium Amg,https://www.automobile.it/montalto-uffugo-mercedes-benz-180-d-116cv-automatic-premium-amg/180155064,25300,6,2019,118450,automatico,Diesel,116,AMG line,Sport,A 180 d,Rivenditore,716,montalto uffugo,87046,Calabria,Sud
MERCEDES-BENZ A 180 d Automatic Sport,https://www.automobile.it/casoria-mercedes-benz-180-d-automatic-sport/179161472,25399,4,2021,39671,automatico,Diesel,116,Sport,Middle,A 180 d,Rivenditore,490,casoria,80026,Campania,Sud
MERCEDES-BENZ A 180 d Automatic Premium,https://www.automobile.it/collesalvetti-mercedes-benz-180-d-automatic-premium/179980217,25399,6,2019,32167,automatico,Diesel,116,AMG line,Sport,A 180 d,Rivenditore,130,collesalvetti,57014,Toscana,Centro
MERCEDES-BENZ A 180 d Automatic Premium,https://www.automobile.it/verona-mercedes-benz-180-d-automatic-premium/179985837,25399,6,2019,32167,automatico,Diesel,116,AMG line,Sport,A 180 d,Rivenditore,86,verona,37121,Veneto,Nord-est
MERCEDES-BENZ A 180 d Automatic Premium,https://www.automobile.it/milano-mercedes-benz-180-d-automatic-premium/179986548,25399,6,2019,32167,automatico,Diesel,116,AMG line,Sport,A 180 d,Rivenditore,177,milano,20121,Lombardia,Nord-ovest
MERCEDES-BENZ A 180 d Automatic Premium,https://www.automobile.it/beinasco-mercedes-benz-180-d-automatic-premium/179985751,25399,6,2019,32167,automatico,Diesel,116,AMG line,Sport,A 180 d,Rivenditore,283,beinasco,10092,Piemonte,Nord-ovest
MERCEDES-BENZ A 180 d Automatic Premium,https://www.automobile.it/bologna-mercedes-benz-180-d-automatic-premium/179985925,25399,6,2019,32167,automatico,Diesel,116,AMG line,Sport,A 180 d,Rivenditore,25,bologna,40121,Emilia-Romagna,Nord-est
MERCEDES-BENZ A 180 d Automatic Premium,https://www.automobile.it/roma-mercedes-benz-180-d-automatic-premium/179986173,25399,6,2019,32167,automatico,Diesel,116,AMG line,Sport,A 180 d,Rivenditore,326,roma,118,Lazio,Centro
Mercedes-Benz Classe A A 180 D SPORT AUTO,https://www.automobile.it/olginate-mercedes-benz-classe-180-d-sport-auto/179395003,25400,5,2020,48903,automatico,Diesel,116,Sport,Middle,A 180 d,Rivenditore,185,olginate,23854,Lombardia,Nord-ovest
Mercedes-Benz Classe A A 180 D SPORT AUTO,https://www.automobile.it/como-mercedes-benz-classe-180-d-sport-auto/179395038,25400,5,2020,48903,automatico,Diesel,116,Sport,Middle,A 180 d,Rivenditore,205,como,22100,Lombardia,Nord-ovest
MERCEDES-BENZ A 160 d Premium AMG Night Pack Magno Designo,https://www.automobile.it/cesano-maderno-mercedes-benz-160-d-premium-amg-night-pack-magno-designo/179616160,25400,5,2020,67800,automatico,Diesel,95,AMG line,Sport,A 160 d,Rivenditore,189,cesano maderno,20811,Lombardia,Nord-ovest
Mercedes-benz A 180 A 180 AMG LINE PREMIUM,https://www.automobile.it/padova-mercedes-benz-180-180-amg-line-premium/180008026,25400,5,2020,33000,automatico,Benzina,136,AMG line,Sport,A 180,Rivenditore,101,padova,35121,Veneto,Nord-est
MERCEDES-BENZ A 220 d Automatic Premium AMG,https://www.automobile.it/citta-pieve-mercedes-benz-220-d-automatic-premium-amg/180123309,25400,5,2020,134000,automatico,Diesel,190,AMG line,Sport,A 220 d,Rivenditore,202,citta pieve,6062,Umbria,Centro
MERCEDES-BENZ A 180 A 180 d Automatic Sport,https://www.automobile.it/roma-mercedes-benz-180-180-d-automatic-sport/180101275,25490,4,2021,50930,automatico,Diesel,116,Sport,Middle,A 180 d,Rivenditore,326,roma,118,Lazio,Centro
MERCEDES-BENZ A 200 d Automatic Premium,https://www.automobile.it/firenze-mercedes-benz-200-d-automatic-premium/180074473,25499,5,2020,119057,automatico,Diesel,150,AMG line,Sport,A 200 d,Rivenditore,99,firenze,50121,Toscana,Centro
MERCEDES-BENZ A 200 d Automatic Premium,https://www.automobile.it/catania-mercedes-benz-200-d-automatic-premium/180084722,25499,5,2020,119057,automatico,Diesel,150,AMG line,Sport,A 200 d,Rivenditore,861,catania,95121,Sicilia,Isole
MERCEDES-BENZ A 200 d Automatic Premium,https://www.automobile.it/collesalvetti-mercedes-benz-200-d-automatic-premium/180068092,25499,5,2020,119057,automatico,Diesel,150,AMG line,Sport,A 200 d,Rivenditore,130,collesalvetti,57014,Toscana,Centro
MERCEDES-BENZ A 200 d Automatic Premium,https://www.automobile.it/bologna-mercedes-benz-200-d-automatic-premium/180073879,25499,5,2020,119057,automatico,Diesel,150,AMG line,Sport,A 200 d,Rivenditore,25,bologna,40121,Emilia-Romagna,Nord-est
MERCEDES-BENZ A 200 d Automatic Premium,https://www.automobile.it/verona-mercedes-benz-200-d-automatic-premium/180073733,25499,5,2020,119057,automatico,Diesel,150,AMG line,Sport,A 200 d,Rivenditore,86,verona,37121,Veneto,Nord-est
MERCEDES-BENZ A 200 d Automatic Premium,https://www.automobile.it/beinasco-mercedes-benz-200-d-automatic-premium/180073555,25499,5,2020,119057,automatico,Diesel,150,AMG line,Sport,A 200 d,Rivenditore,283,beinasco,10092,Piemonte,Nord-ovest
Mercedes-benz A 180 A 180 d Automatic Premium,https://www.automobile.it/moiano-mercedes-benz-180-180-d-automatic-premium/179537986,25500,6,2019,80000,automatico,Diesel,116,AMG line,Sport,A 180 d,Rivenditore,486,moiano,82010,Campania,Sud
Mercedes-benz A 180 A 180 d 4p. Executive,https://www.automobile.it/francavilla-fontana-mercedes-benz-180-180-d-4p-executive/179584604,25500,5,2020,53000,automatico,Diesel,116,Executive,Base,A 180 d,Rivenditore,700,francavilla fontana,72021,Puglia,Sud
Mercedes-benz A 180 A 180 d Automatic Premium AMG,https://www.automobile.it/cingoli-mercedes-benz-180-180-d-automatic-premium-amg/178492190,25500,5,2020,98000,automatico,Diesel,116,AMG line,Sport,A 180 d,Rivenditore,220,cingoli,62011,Marche,Centro
MERCEDES A 180 CDI 115 CV AUT. SPORT,https://www.automobile.it/buja-mercedes-180-cdi-115-cv-aut-sport/180054917,25500,5,2020,60000,automatico,Diesel,136,Sport,Middle,A 180,Rivenditore,231,buja,33030,Friuli-Venezia Giulia,Nord-est
MERCEDES A 250 e Automatic EQ-Power Business,https://www.automobile.it/montesilvano-mercedes-250-automatic-eq-power-business/179156900,25500,4,2021,68000,automatico,Ibrido,218,Business,Base,A 250 e,Rivenditore,341,montesilvano,65015,Abruzzo,Sud
Mercedes-Benz Classe A - W177 2018 - A 180 d Premium auto,https://www.automobile.it/gualdo-tadino-mercedes-benz-classe-w177-2018-180-d-premium-auto/180096317,25500,6,2019,103486,automatico,Diesel,116,AMG line,Sport,A 180 d,Rivenditore,207,gualdo tadino,6023,Umbria,Centro
MERCEDES - Classe A - A 180 d Automatic Business,https://www.automobile.it/terni-mercedes-classe-180-d-automatic-business/179826149,25500,6,2019,53525,automatico,Diesel,116,Business,Base,A 180 d,Rivenditore,263,terni,5100,Umbria,Centro
MERCEDES-BENZ A 200 d Automatic Business,https://www.automobile.it/castenaso-mercedes-benz-200-d-automatic-business/179967178,25800,4,2021,54537,automatico,Diesel,150,Business,Base,A 200 d,Rivenditore,31,castenaso,40055,Emilia-Romagna,Nord-est
Mercedes-benz A 180d Automatic Sport Plus Led Ambient,https://www.automobile.it/salice-salentino-mercedes-benz-180d-automatic-sport-plus-led-ambient/179704924,25800,5,2020,78000,automatico,Diesel,116,Sport,Middle,A 180 d,Rivenditore,735,salice salentino,73015,Puglia,Sud
Mercedes-benz A 180 A 180 d Automatic Business,https://www.automobile.it/guidonia-montecelio-mercedes-benz-180-180-d-automatic-business/179980971,25800,4,2021,50900,automatico,Diesel,116,Business,Base,A 180 d,Rivenditore,322,guidonia montecelio,12,Lazio,Centro
Mercedes-Benz Classe A A 180 d Automatic 4p. Business Extra,https://www.automobile.it/foggia-mercedes-benz-classe-180-d-automatic-4p-business-extra/180116286,25800,5,2020,97000,automatico,Diesel,116,Business,Base,A 180 d,Rivenditore,505,foggia,71121,Puglia,Sud
Mercedes-benz A 180 A 180 d Automatic Sport( IVA ESPOSTA )(UNICO PROPRIETARIO),https://www.automobile.it/corato-mercedes-benz-180-180-d-automatic-sport-iva-esposta-unico-proprietario/179730600,25899,4,2021,96348,automatico,Diesel,116,Sport,Middle,A 180 d,Rivenditore,581,corato,70033,Puglia,Sud
Mercedes-Benz Classe A A 180 d Automatic Premium,https://www.automobile.it/reggio-calabria-mercedes-benz-classe-180-d-automatic-premium/179243158,25900,6,2019,108623,automatico,Diesel,116,AMG line,Sport,A 180 d,Rivenditore,819,reggio calabria,89121,Calabria,Sud
Mercedes-Benz Classe A A 180 d Automatic Premium,https://www.automobile.it/palermo-mercedes-benz-classe-180-d-automatic-premium/179245295,25900,6,2019,108623,automatico,Diesel,116,AMG line,Sport,A 180 d,Rivenditore,750,palermo,90121,Sicilia,Isole
Mercedes-Benz Classe A 220 D SPORT AUTOMATIC ''PACCHETTO NIGHT'',https://www.automobile.it/bolzano-mercedes-benz-classe-220-d-sport-automatic-pacchetto-night/179381742,25900,5,2020,95550,automatico,Diesel,190,Sport,Middle,A 220 d,Rivenditore,204,bolzano,39100,Trentino-Alto Adige/Südtirol,Nord-est
Mercedes-Benz A 200 D AMG Line Premium Plus Edition,https://www.automobile.it/frosinone-mercedes-benz-200-d-amg-line-premium-plus-edition/179272731,25900,5,2020,122000,automatico,Diesel,150,AMG line,Sport,A 200 d,Rivenditore,381,frosinone,3100,Lazio,Centro
MERCEDES-BENZ A 180 Automatic Executive,https://www.automobile.it/firenze-mercedes-benz-180-automatic-executive/179661932,25900,6,2019,82000,automatico,Diesel,136,Executive,Base,A 180,Rivenditore,99,firenze,50121,Toscana,Centro
Mercedes-Benz Classe A A 180 d Automatic Premium,https://www.automobile.it/messina-mercedes-benz-classe-180-d-automatic-premium/179237200,25900,6,2019,108623,automatico,Diesel,116,AMG line,Sport,A 180 d,Rivenditore,807,messina,98121,Sicilia,Isole
Mercedes-Benz Classe A A 180 d Automatic Premium,https://www.automobile.it/catania-mercedes-benz-classe-180-d-automatic-premium/179242975,25900,6,2019,108623,automatico,Diesel,116,AMG line,Sport,A 180 d,Rivenditore,861,catania,95121,Sicilia,Isole
MERCEDES-BENZ A 180 d Premium-Amg Automatic Motore MB,https://www.automobile.it/pollenza-mercedes-benz-180-d-premium-amg-automatic-motore-mb/179814159,25900,4,2021,99990,automatico,Diesel,116,AMG line,Sport,A 180 d,Rivenditore,235,pollenza,62010,Marche,Centro
Mercedes-benz A 180 A 180 d Automatic Premium,https://www.automobile.it/benevento-mercedes-benz-180-180-d-automatic-premium/179887832,25900,6,2019,84000,automatico,Diesel,116,AMG line,Sport,A 180 d,Rivenditore,492,benevento,82100,Campania,Sud
Mercedes-Benz Classe A A 180 d Automatic Sport,https://www.automobile.it/rende-mercedes-benz-classe-180-d-automatic-sport/179863380,25900,3,2022,109964,automatico,Diesel,116,Sport,Middle,A 180 d,Rivenditore,724,rende,87036,Calabria,Sud
MERCEDES-BENZ A 250 e Automatic EQ-Power-Sport#CronoTagliandi,https://www.automobile.it/guidonia-montecelio-mercedes-benz-250-automatic-eq-power-sport-cronotagliandi/179725958,25900,5,2020,73000,automatico,Ibrido,218,Sport,Middle,A 250 e,Rivenditore,322,guidonia montecelio,12,Lazio,Centro
Mercedes-benz A 180 d Automatic Sport,https://www.automobile.it/fiumicino-mercedes-benz-180-d-automatic-sport/180033147,25900,5,2020,75000,automatico,Diesel,116,Sport,Middle,A 180 d,Rivenditore,333,fiumicino,54,Lazio,Centro
Mercedes-benz A 200 A 200 d Automatic Premium,https://www.automobile.it/monreale-mercedes-benz-200-200-d-automatic-premium/180066859,25900,5,2020,89000,automatico,Diesel,150,AMG line,Sport,A 200 d,Rivenditore,752,monreale,90046,Sicilia,Isole
Mercedes-Benz A 200 d Premium auto CAMERA+TETTO PANO+LED,https://www.automobile.it/ghedi-mercedes-benz-200-d-premium-auto-camera-tetto-pano-led/180075477,25900,6,2019,78146,automatico,Diesel,150,AMG line,Sport,A 200 d,Rivenditore,106,ghedi,25016,Lombardia,Nord-ovest
MERCEDES-BENZ A 200 Sport,https://www.automobile.it/azzanello-mercedes-benz-200-sport/180071766,25900,5,2020,16882,automatico,Benzina,163,Sport,Middle,A 200,Rivenditore,119,azzanello,26010,Lombardia,Nord-ovest
Mercedes-Benz A 180 d Automatic Premium,https://www.automobile.it/roncadelle-mercedes-benz-180-d-automatic-premium/179614948,25900,4,2021,45085,automatico,Diesel,116,AMG line,Sport,A 180 d,Rivenditore,123,roncadelle,25030,Lombardia,Nord-ovest
Mercedes-Benz Classe A A 200 D SPORT AUTO,https://www.automobile.it/verona-mercedes-benz-classe-200-d-sport-auto/180110898,25900,4,2021,75813,automatico,Diesel,150,Sport,Middle,A 200 d,Rivenditore,86,verona,37121,Veneto,Nord-est
Mercedes-benz A 200 A 200 Automatic Premium AMG,https://www.automobile.it/roma-mercedes-benz-200-200-automatic-premium-amg/180140087,25900,6,2019,56000,automatico,Benzina,163,AMG line,Sport,A 200,Rivenditore,326,roma,118,Lazio,Centro
MERCEDES-BENZ A 200 MHV SPORT AUTOMATIC,https://www.automobile.it/altavilla-vicentina-mercedes-benz-200-mhv-sport-automatic/179814657,25900,2,2023,12378,automatico,Ibrido,163,Sport,Middle,A 200,Rivenditore,97,altavilla vicentina,36077,Veneto,Nord-est
Mercedes Benz Classe A200d W177 Premium AMG 2.0 Turbo 150cv,https://www.automobile.it/anzio-mercedes-benz-classe-a200d-w177-premium-amg-2-0-turbo-150cv/179521587,25900,5,2020,49900,automatico,Diesel,150,AMG line,Sport,A 200 d,Rivenditore,377,anzio,42,Lazio,Centro
